Nome da camada;Link para download;Fonte;URL do serviço
APP de Altitude;https://geoportal.inea.rj.gov.br/portal/apps/experiencebuilder/experience/?id=d40de9b2dd2243ccb777971cef2eb14e;INEA;https://geoportal.inea.rj.gov.br/portal/apps/storymaps/stories/cf727c885d724dc9ad6b1d392f9ad84d
APP de Declividade;https://geoportal.inea.rj.gov.br/portal/apps/experiencebuilder/experience/?id=d40de9b2dd2243ccb777971cef2eb14e;INEA;https://geoportal.inea.rj.gov.br/portal/apps/storymaps/stories/cf727c885d724dc9ad6b1d392f9ad84d
APP de Lagos e Lagoas;https://geoportal.inea.rj.gov.br/portal/apps/experiencebuilder/experience/?id=d40de9b2dd2243ccb777971cef2eb14e;INEA;https://geoportal.inea.rj.gov.br/portal/apps/storymaps/stories/cf727c885d724dc9ad6b1d392f9ad84d
APP de Mangue;https://geoportal.inea.rj.gov.br/portal/apps/experiencebuilder/experience/?id=d40de9b2dd2243ccb777971cef2eb14e;INEA;https://geoportal.inea.rj.gov.br/portal/apps/storymaps/stories/cf727c885d724dc9ad6b1d392f9ad84d
APP de Nascente;https://geoportal.inea.rj.gov.br/portal/apps/experiencebuilder/experience/?id=d40de9b2dd2243ccb777971cef2eb14e;INEA;https://geoportal.inea.rj.gov.br/portal/apps/storymaps/stories/cf727c885d724dc9ad6b1d392f9ad84d
APP de Restinga;https://geoportal.inea.rj.gov.br/portal/apps/experiencebuilder/experience/?id=a163860e90514e6688719df20fec024a;INEA;https://geoportal.inea.rj.gov.br/portal/apps/storymaps/stories/cf727c885d724dc9ad6b1d392f9ad84d
APP de Rio;https://geoportal.inea.rj.gov.br/portal/apps/experiencebuilder/experience/?id=a163860e90514e6688719df20fec024a;INEA;https://geoportal.inea.rj.gov.br/portal/apps/storymaps/stories/cf727c885d724dc9ad6b1d392f9ad84d
APP de Topo de Morro;https://geoportal.inea.rj.gov.br/portal/apps/experiencebuilder/experience/?id=d40de9b2dd2243ccb777971cef2eb14e;INEA;https://geoportal.inea.rj.gov.br/portal/apps/storymaps/stories/cf727c885d724dc9ad6b1d392f9ad84d
Áreas de Uso Restrito (declividade 25° a 45°);https://geoportal.inea.rj.gov.br/portal/apps/experiencebuilder/experience/?id=d40de9b2dd2243ccb777971cef2eb14e;INEA;https://geoportal.inea.rj.gov.br/portal/apps/storymaps/stories/cf727c885d724dc9ad6b1d392f9ad84d
Faixa Marginal de Proteção;;INEA;https://geoportal.inea.rj.gov.br/portal/apps/storymaps/stories/cf727c885d724dc9ad6b1d392f9ad84d
Imóvel CAR;https://consultapublica.car.gov.br/publico/estados/downloads;SFB/MMA;https://geoportal.inea.rj.gov.br/server/rest/services/Cadastro_Ambiental_Rural/FeatureServer
Mapeamento de Uso e Cobertura (2018);https://geoportal.inea.rj.gov.br/portal/apps/experiencebuilder/experience/?id=ac6e8b8b93c940ee8d1aedbbbe6cd0e1;INEA;https://geoportal.inea.rj.gov.br/server/rest/services/Uso_e_Cobertura/FeatureServer
Mapeamento da Vegetação (2024);;INEA;https://geoportal.inea.rj.gov.br/server/rest/services/Uso_e_Cobertura/FeatureServer
Municípios;https://geoportal.inea.rj.gov.br/portal/apps/experiencebuilder/experience/?id=031a9ab1c27145f19dea5ec32577fe0b;CEPERJ;https://geoportal.inea.rj.gov.br/server/rest/services/Limites_Administrativos/FeatureServer
Unidades de Conservação Estaduais;https://geoportal.inea.rj.gov.br/portal/apps/experiencebuilder/experience/?id=d40de9b2dd2243ccb777971cef2eb14e;INEA;https://geoportal.inea.rj.gov.br/server/rest/services/Unidades_de_Conserva%C3%A7%C3%A3o/FeatureServer
Unidades de Conservação Federais;https://geoportal.inea.rj.gov.br/portal/apps/experiencebuilder/experience/?id=d40de9b2dd2243ccb777971cef2eb14e;ICMBIO;https://geoportal.inea.rj.gov.br/server/rest/services/Unidades_de_Conserva%C3%A7%C3%A3o/FeatureServer
Unidades de Conservação Municipais;https://geoportal.inea.rj.gov.br/portal/apps/experiencebuilder/experience/?id=d40de9b2dd2243ccb777971cef2eb14e;SEAS/INEA;https://geoportal.inea.rj.gov.br/server/rest/services/Unidades_de_Conserva%C3%A7%C3%A3o/FeatureServer
Zona de Amortecimento (Ucs Estaduais);https://geoportal.inea.rj.gov.br/portal/apps/experiencebuilder/experience/?id=d40de9b2dd2243ccb777971cef2eb14e;INEA;https://geoportal.inea.rj.gov.br/server/rest/services/Unidades_de_Conserva%C3%A7%C3%A3o/FeatureServer
Zoneamento (Ucs Estaduais);https://geoportal.inea.rj.gov.br/portal/apps/experiencebuilder/experience/?id=d40de9b2dd2243ccb777971cef2eb14e;INEA;https://geoportal.inea.rj.gov.br/server/rest/services/Unidades_de_Conserva%C3%A7%C3%A3o/FeatureServer
